Te, Ar+0, Ar+1, Ar+2, Ar+3, Ar+4, Ar+5, Ar+6, Ar+7, Ar+8, Ar+9, Ar+10, Ar+11, Ar+12, Ar+13, Ar+14, Ar+15, Ar+16, Ar+17, Ar+18
1.4894e+01, 4.0104e-11, 7.1181e-07, 5.1916e-04, 4.5929e-02, 3.6052e-01, 5.1448e-01, 7.1661e-02, 6.8308e-03, 6.2048e-05, 2.0389e-15, 6.7360e-28, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.6461e+01, 9.3701e-12, 1.9102e-07, 1.6914e-04, 1.9736e-02, 2.3150e-01, 5.6385e-01, 1.5157e-01, 3.2356e-02, 8.2123e-04, 4.3236e-13, 3.2481e-24, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.8193e+01, 1.9040e-12, 4.4693e-08, 4.7921e-05, 7.3014e-03, 1.2521e-01, 5.0324e-01, 2.4866e-01, 1.0852e-01, 7.0209e-03, 4.6728e-11, 6.0122e-21, 1.7012e-32, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.0107e+01, 3.2005e-13, 8.6687e-09, 1.1227e-05, 2.2139e-03, 5.4412e-02, 3.5008e-01, 3.0407e-01, 2.5096e-01, 3.8264e-02, 2.5623e-09, 4.3424e-18, 2.2723e-28, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.2222e+01, 4.2942e-14, 1.3443e-09, 2.0982e-06, 5.3119e-04, 1.8376e-02, 1.8417e-01, 2.6997e-01, 3.9456e-01, 1.3239e-01, 7.1647e-08, 1.2552e-15, 9.4625e-25, 7.8659e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.4560e+01, 4.7045e-15, 1.7042e-10, 3.1983e-07, 1.0318e-04, 4.9413e-03, 7.5228e-02, 1.7935e-01, 4.3869e-01, 3.0168e-01, 1.0825e-06, 1.5771e-13, 1.3572e-21, 1.7606e-31, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.7144e+01, 4.5631e-16, 1.9144e-11, 4.3099e-08, 1.7590e-05, 1.1489e-03, 2.5957e-02, 9.7336e-02, 3.7983e-01, 4.9570e-01, 9.8935e-06, 9.8810e-12, 7.7576e-19, 1.2174e-27, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
3.0000e+01, 4.3541e-17, 2.1167e-12, 5.7035e-09, 2.9255e-06, 2.5699e-04, 8.4342e-03, 4.8266e-02, 2.8892e-01, 6.5405e-01, 6.1702e-05, 3.5434e-10, 2.0690e-16, 3.1204e-24, 2.8138e-33, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
3.3156e+01, 4.4754e-18, 2.5216e-13, 8.1144e-10, 5.1982e-07, 6.0649e-05, 2.8355e-03, 2.4100e-02, 2.1457e-01, 7.5814e-01, 2.8967e-04, 8.1354e-09, 2.9525e-14, 3.4930e-21, 3.2071e-29, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
3.6645e+01, 5.2241e-19, 3.4113e-14, 1.3081e-10, 1.0406e-07, 1.5938e-05, 1.0428e-03, 1.2847e-02, 1.6585e-01, 8.1915e-01, 1.0910e-03, 1.2894e-07, 2.4678e-12, 1.9083e-18, 1.4438e-25, 6.7229e-34, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
4.0500e+01, 7.0503e-20, 5.3339e-15, 2.4321e-11, 2.3892e-08, 4.7528e-06, 4.2807e-04, 7.4767e-03, 1.3678e-01, 8.5190e-01, 3.4054e-03, 1.4708e-06, 1.2659e-10, 5.4054e-16, 2.7885e-22, 1.0799e-29, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
4.4761e+01, 1.0935e-20, 9.5798e-16, 5.1825e-12, 6.2552e-09, 1.6001e-06, 1.9542e-04, 4.7443e-03, 1.2049e-01, 8.6557e-01, 8.9802e-03, 1.2397e-05, 4.1069e-09, 8.2799e-14, 2.4559e-19, 6.5455e-26, 1.5374e-33, 1.0000e-36, 1.0000e-36, 1.0000e-36
4.9470e+01, 1.8936e-21, 1.9197e-16, 1.2295e-12, 1.8144e-09, 5.9141e-07, 9.6598e-05, 3.2026e-03, 1.1093e-01, 8.6527e-01, 2.0417e-02, 7.9046e-05, 8.6410e-08, 7.0952e-12, 1.0315e-16, 1.5912e-22, 2.5757e-29, 1.0000e-36, 1.0000e-36, 1.0000e-36
5.4675e+01, 3.5394e-22, 4.1487e-17, 3.1388e-13, 5.6376e-10, 2.3224e-07, 5.0089e-05, 2.2327e-03, 1.0389e-01, 8.5271e-01, 4.0725e-02, 3.8936e-04, 1.2076e-06, 3.5125e-10, 2.1537e-14, 1.6419e-19, 1.5394e-25, 1.6465e-32, 1.0000e-36, 1.0000e-36
6.0428e+01, 6.9720e-23, 9.4397e-18, 8.4192e-14, 1.8324e-10, 9.4674e-08, 2.6650e-05, 1.5747e-03, 9.7157e-02, 8.2715e-01, 7.2556e-02, 1.5259e-03, 1.1670e-05, 1.0539e-08, 2.3682e-12, 7.6923e-17, 3.5626e-22, 2.1158e-28, 1.0000e-36, 1.0000e-36
6.6785e+01, 1.4179e-23, 2.2151e-18, 2.3241e-14, 6.1044e-11, 3.9276e-08, 1.4276e-05, 1.1039e-03, 8.9289e-02, 7.8712e-01, 1.1748e-01, 4.9104e-03, 8.1627e-05, 2.0212e-07, 1.4600e-10, 1.7562e-14, 3.4694e-19, 9.8294e-25, 1.0000e-36, 1.0000e-36
7.3812e+01, 2.9288e-24, 5.2736e-19, 6.4957e-15, 2.0509e-11, 1.6323e-08, 7.5853e-06, 7.5880e-04, 7.9639e-02, 7.3094e-01, 1.7489e-01, 1.3332e-02, 4.3280e-04, 2.6194e-06, 5.3819e-09, 2.1005e-12, 1.5452e-16, 1.8199e-21, 1.0000e-36, 1.0000e-36
8.1577e+01, 6.0614e-25, 1.2564e-19, 1.8131e-15, 6.8561e-12, 6.7086e-09, 3.9487e-06, 5.0564e-04, 6.8224e-02, 6.5737e-01, 2.4082e-01, 3.1234e-02, 1.8211e-03, 2.4282e-05, 1.2654e-07, 1.4152e-10, 3.4189e-14, 1.4779e-18, 1.0000e-36, 1.0000e-36
9.0160e+01, 1.2374e-25, 2.9488e-20, 4.9756e-16, 2.2454e-12, 2.6859e-09, 1.9852e-06, 3.2235e-04, 5.5450e-02, 5.6668e-01, 3.0697e-01, 6.4106e-02, 6.2971e-03, 1.6878e-04, 2.0086e-06, 5.7376e-09, 4.0532e-12, 5.7470e-16, 2.9223e-36, 1.0000e-36
9.9646e+01, 2.4504e-26, 6.7054e-21, 1.3203e-16, 7.0874e-13, 1.0309e-09, 9.4942e-07, 1.9379e-04, 4.2210e-02, 4.6251e-01, 3.6008e-01, 1.1585e-01, 1.8217e-02, 9.0845e-04, 2.2517e-05, 1.4812e-07, 2.7503e-10, 1.1550e-13, 3.8004e-32, 1.0000e-36
1.1013e+02, 4.6203e-27, 1.4500e-21, 3.3255e-17, 2.1166e-13, 3.7251e-10, 4.2451e-07, 1.0807e-04, 2.9640e-02, 3.5211e-01, 3.8506e-01, 1.8440e-01, 4.4602e-02, 3.8837e-03, 1.8526e-04, 2.5603e-06, 1.1338e-08, 1.2864e-11, 2.2075e-28, 1.0000e-36
1.2172e+02, 8.1529e-28, 2.9304e-22, 7.8139e-18, 5.8792e-14, 1.2463e-10, 1.7460e-07, 5.5038e-05, 1.8909e-02, 2.4614e-01, 3.7090e-01, 2.5694e-01, 9.2539e-02, 1.3344e-02, 1.1459e-03, 3.0736e-05, 2.9746e-07, 8.3876e-10, 6.1024e-25, 1.0000e-36
1.3452e+02, 1.3236e-28, 5.4419e-23, 1.6841e-18, 1.4937e-14, 3.7975e-11, 6.4999e-08, 2.5207e-05, 1.0792e-02, 1.5547e-01, 3.1763e-01, 3.1088e-01, 1.6238e-01, 3.7124e-02, 5.4324e-03, 2.6453e-04, 5.1794e-06, 3.3659e-08, 7.2617e-22, 1.0000e-36
1.4867e+02, 1.9452e-29, 9.1363e-24, 3.2759e-19, 3.4155e-15, 1.0373e-11, 2.1568e-08, 1.0228e-05, 5.4313e-03, 8.7370e-02, 2.3863e-01, 3.2346e-01, 2.3963e-01, 8.3784e-02, 1.9952e-02, 1.6671e-03, 6.1710e-05, 8.6321e-07, 3.8294e-19, 6.6074e-33
