Te, N+0, N+1, N+2, N+3, N+4, N+5, N+6, N+7
3.4208e+02, 5.6951e-29, 1.0679e-21, 7.0398e-16, 1.2349e-10, 1.5160e-06, 1.6735e-03, 4.7253e-02, 9.5107e-01
3.6938e+02, 2.5097e-29, 5.3053e-22, 3.8551e-16, 7.4846e-11, 9.6565e-07, 1.1349e-03, 3.8018e-02, 9.6085e-01
3.9885e+02, 1.1187e-29, 2.6693e-22, 2.1367e-16, 4.5843e-11, 6.2035e-07, 7.7934e-04, 3.0848e-02, 9.6837e-01
4.3068e+02, 5.0458e-30, 1.3598e-22, 1.1984e-16, 2.8377e-11, 4.0196e-07, 5.4168e-04, 2.5241e-02, 9.7422e-01
4.6505e+02, 2.3032e-30, 7.0101e-23, 6.8000e-17, 1.7750e-11, 2.6267e-07, 3.8088e-04, 2.0822e-02, 9.7880e-01
5.0216e+02, 1.0640e-30, 3.6550e-23, 3.9015e-17, 1.1216e-11, 1.7306e-07, 2.7076e-04, 1.7311e-02, 9.8242e-01
5.4223e+02, 4.9739e-31, 1.9262e-23, 2.2624e-17, 7.1564e-12, 1.1492e-07, 1.9446e-04, 1.4498e-02, 9.8531e-01
5.8550e+02, 2.3520e-31, 1.0258e-23, 1.3251e-17, 4.6083e-12, 7.6882e-08, 1.4102e-04, 1.2226e-02, 9.8763e-01
6.3223e+02, 1.1244e-31, 5.5199e-24, 7.8359e-18, 2.9927e-12, 5.1786e-08, 1.0319e-04, 1.0378e-02, 9.8952e-01
6.8268e+02, 5.4319e-32, 3.0005e-24, 4.6749e-18, 1.9587e-12, 3.5103e-08, 7.6140e-05, 8.8620e-03, 9.9106e-01
7.3716e+02, 2.6499e-32, 1.6470e-24, 2.8123e-18, 1.2910e-12, 2.3931e-08, 5.6617e-05, 7.6099e-03, 9.9233e-01
7.9599e+02, 1.3039e-32, 9.1195e-25, 1.7050e-18, 8.5683e-13, 1.6405e-08, 4.2404e-05, 6.5684e-03, 9.9339e-01
8.5951e+02, 6.4601e-33, 5.0845e-25, 1.0414e-18, 5.7261e-13, 1.1308e-08, 3.1978e-05, 5.6967e-03, 9.9427e-01
9.2810e+02, 3.2174e-33, 2.8496e-25, 6.4049e-19, 3.8536e-13, 7.8365e-09, 2.4272e-05, 4.9624e-03, 9.9501e-01
1.0022e+03, 1.6081e-33, 1.6025e-25, 3.9652e-19, 2.6118e-13, 5.4602e-09, 1.8535e-05, 4.3401e-03, 9.9564e-01
1.0821e+03, 8.0568e-34, 9.0324e-26, 2.4703e-19, 1.7826e-13, 3.8247e-09, 1.4236e-05, 3.8098e-03, 9.9618e-01
1.1685e+03, 4.0503e-34, 5.1077e-26, 1.5490e-19, 1.2246e-13, 2.6929e-09, 1.0996e-05, 3.3560e-03, 9.9663e-01
1.2617e+03, 2.0461e-34, 2.9021e-26, 9.7806e-20, 8.4623e-14, 1.9054e-09, 8.5409e-06, 2.9663e-03, 9.9703e-01
1.3624e+03, 1.0402e-34, 1.6592e-26, 6.2209e-20, 5.8787e-14, 1.3546e-09, 6.6711e-06, 2.6303e-03, 9.9736e-01
1.4711e+03, 5.3299e-35, 9.5605e-27, 3.9872e-20, 4.1030e-14, 9.6740e-10, 5.2394e-06, 2.3396e-03, 9.9766e-01
1.5885e+03, 2.7558e-35, 5.5585e-27, 2.5760e-20, 2.8758e-14, 6.9388e-10, 4.1374e-06, 2.0872e-03, 9.9791e-01
1.7153e+03, 1.4366e-35, 3.2584e-27, 1.6760e-20, 2.0258e-14, 4.9971e-10, 3.2832e-06, 1.8671e-03, 9.9813e-01
1.8522e+03, 7.5367e-36, 1.9220e-27, 1.0966e-20, 1.4364e-14, 3.6123e-10, 2.6164e-06, 1.6742e-03, 9.9832e-01
2.0000e+03, 3.9711e-36, 1.1386e-27, 7.2039e-21, 1.0267e-14, 2.6202e-10, 2.0924e-06, 1.5042e-03, 9.9849e-01
