Te, C+0, C+1, C+2, C+3, C+4, C+5, C+6
9.2743e+01, 1.1778e-20, 2.8055e-14, 5.0633e-09, 8.9005e-05, 1.5861e-01, 5.7649e-01, 2.6482e-01
1.0014e+02, 6.0445e-21, 1.5987e-14, 3.1922e-09, 6.0139e-05, 1.0519e-01, 5.1509e-01, 3.7966e-01
1.0814e+02, 3.0133e-21, 8.8543e-15, 1.9550e-09, 3.9206e-05, 6.7382e-02, 4.3396e-01, 4.9862e-01
1.1676e+02, 1.4710e-21, 4.8011e-15, 1.1717e-09, 2.4856e-05, 4.2097e-02, 3.4911e-01, 6.0877e-01
1.2608e+02, 7.1041e-22, 2.5726e-15, 6.9356e-10, 1.5477e-05, 2.5939e-02, 2.7196e-01, 7.0208e-01
1.3614e+02, 3.4246e-22, 1.3732e-15, 4.0876e-10, 9.5469e-06, 1.5924e-02, 2.0780e-01, 7.7626e-01
1.4701e+02, 1.6583e-22, 7.3421e-16, 2.4114e-10, 5.8688e-06, 9.8109e-03, 1.5733e-01, 8.3286e-01
1.5874e+02, 8.0930e-23, 3.9425e-16, 1.4278e-10, 3.6071e-06, 6.0941e-03, 1.1887e-01, 8.7503e-01
1.7141e+02, 3.9866e-23, 2.1325e-16, 8.5109e-11, 2.2241e-06, 3.8297e-03, 9.0094e-02, 9.0607e-01
1.8509e+02, 1.9822e-23, 1.1649e-16, 5.1205e-11, 1.3798e-06, 2.4408e-03, 6.8741e-02, 9.2882e-01
1.9986e+02, 9.9340e-24, 6.4353e-17, 3.1136e-11, 8.6264e-07, 1.5793e-03, 5.2912e-02, 9.4551e-01
2.1581e+02, 5.0099e-24, 3.5964e-17, 1.9144e-11, 5.4389e-07, 1.0376e-03, 4.1137e-02, 9.5782e-01
2.3303e+02, 2.5443e-24, 2.0345e-17, 1.1909e-11, 3.4603e-07, 6.9195e-04, 3.2317e-02, 9.6699e-01
2.5162e+02, 1.3026e-24, 1.1654e-17, 7.4986e-12, 2.2219e-07, 4.6806e-04, 2.5652e-02, 9.7388e-01
2.7170e+02, 6.7281e-25, 6.7600e-18, 4.7788e-12, 1.4399e-07, 3.2083e-04, 2.0566e-02, 9.7911e-01
2.9338e+02, 3.5078e-25, 3.9696e-18, 3.0819e-12, 9.4146e-08, 2.2256e-04, 1.6645e-02, 9.8313e-01
3.1680e+02, 1.8467e-25, 2.3591e-18, 2.0107e-12, 6.2084e-08, 1.5605e-04, 1.3590e-02, 9.8625e-01
3.4208e+02, 9.8168e-26, 1.4180e-18, 1.3264e-12, 4.1279e-08, 1.1053e-04, 1.1188e-02, 9.8870e-01
3.6938e+02, 5.2675e-26, 8.6145e-19, 8.8419e-13, 2.7667e-08, 7.9065e-05, 9.2851e-03, 9.9064e-01
3.9885e+02, 2.8521e-26, 5.2852e-19, 5.9513e-13, 1.8687e-08, 5.7108e-05, 7.7648e-03, 9.9218e-01
4.3068e+02, 1.5576e-26, 3.2721e-19, 4.0419e-13, 1.2716e-08, 4.1639e-05, 6.5407e-03, 9.9342e-01
4.6505e+02, 8.5768e-27, 2.0424e-19, 2.7678e-13, 8.7140e-09, 3.0638e-05, 5.5474e-03, 9.9442e-01
5.0216e+02, 4.7595e-27, 1.2843e-19, 1.9095e-13, 6.0120e-09, 2.2743e-05, 4.7352e-03, 9.9524e-01
5.4223e+02, 2.6615e-27, 8.1320e-20, 1.3266e-13, 4.1743e-09, 1.7026e-05, 4.0662e-03, 9.9592e-01
5.8550e+02, 1.5011e-27, 5.1903e-20, 9.2857e-14, 2.9155e-09, 1.2845e-05, 3.5110e-03, 9.9648e-01
6.3223e+02, 8.5497e-28, 3.3439e-20, 6.5537e-14, 2.0476e-09, 9.7602e-06, 3.0472e-03, 9.9694e-01
6.8268e+02, 4.9230e-28, 2.1776e-20, 4.6674e-14, 1.4453e-09, 7.4639e-06, 2.6569e-03, 9.9734e-01
7.3716e+02, 2.8681e-28, 1.4348e-20, 3.3558e-14, 1.0249e-09, 5.7408e-06, 2.3264e-03, 9.9767e-01
7.9599e+02, 1.6857e-28, 9.5379e-21, 2.4314e-14, 7.2990e-10, 4.4389e-06, 2.0448e-03, 9.9795e-01
8.5951e+02, 9.9406e-29, 6.3615e-21, 1.7692e-14, 5.2191e-10, 3.4497e-06, 1.8035e-03, 9.9819e-01
9.2810e+02, 5.8493e-29, 4.2337e-21, 1.2884e-14, 3.7460e-10, 2.6938e-06, 1.5955e-03, 9.9840e-01
1.0022e+03, 3.4158e-29, 2.7960e-21, 9.3586e-15, 2.6982e-10, 2.1131e-06, 1.4153e-03, 9.9858e-01
1.0821e+03, 1.9739e-29, 1.8271e-21, 6.7701e-15, 1.9499e-10, 1.6647e-06, 1.2584e-03, 9.9874e-01
1.1685e+03, 1.1367e-29, 1.1897e-21, 4.9061e-15, 1.4138e-10, 1.3167e-06, 1.1216e-03, 9.9888e-01
1.2617e+03, 6.5837e-30, 7.7908e-22, 3.5886e-15, 1.0287e-10, 1.0455e-06, 1.0019e-03, 9.9900e-01
1.3624e+03, 3.8715e-30, 5.1794e-22, 2.6695e-15, 7.5104e-11, 8.3314e-07, 8.9717e-04, 9.9910e-01
1.4711e+03, 2.3329e-30, 3.5283e-22, 2.0348e-15, 5.5031e-11, 6.6618e-07, 8.0529e-04, 9.9919e-01
1.5885e+03, 1.4506e-30, 2.4801e-22, 1.5979e-15, 4.0468e-11, 5.3437e-07, 7.2453e-04, 9.9927e-01
1.7153e+03, 9.1805e-31, 1.7743e-22, 1.2750e-15, 2.9856e-11, 4.2987e-07, 6.5332e-04, 9.9935e-01
1.8522e+03, 5.7690e-31, 1.2603e-22, 1.0091e-15, 2.2086e-11, 3.4666e-07, 5.9028e-04, 9.9941e-01
2.0000e+03, 3.5113e-31, 8.6710e-23, 7.7335e-16, 1.6374e-11, 2.8017e-07, 5.3428e-04, 9.9947e-01
